Time	UTC	GPS_lat(deg)	GPS_long(deg)
30.215	15:45:42.215	43.462229950	1.272889989
30.465	15:45:42.465	43.462229950	1.272889989
30.715	15:45:42.715	43.462229950	1.272889989
30.965	15:45:42.965	43.462229950	1.272889989
31.215	15:45:43.215	43.462229950	1.272889989
31.465	15:45:43.465	43.462229950	1.272889989
31.715	15:45:43.715	43.462229950	1.272889989
31.965	15:45:43.965	43.462229950	1.272889989
32.215	15:45:44.215	43.462229950	1.272889989
32.465	15:45:44.465	43.462229950	1.272889989
32.715	15:45:44.715	43.462229950	1.272889989
32.965	15:45:44.965	43.462229950	1.272889989
33.215	15:45:45.215	43.462229950	1.272889989
33.465	15:45:45.465	43.462229950	1.272889989
33.715	15:45:45.715	43.462229950	1.272889989
33.965	15:45:45.965	43.462229950	1.272889989
34.215	15:45:46.215	43.462229950	1.272889989
34.465	15:45:46.465	43.462229950	1.272889989
34.715	15:45:46.715	43.462229950	1.272889989
34.965	15:45:46.965	43.462229950	1.272889989
35.215	15:45:47.215	43.462229950	1.272889989
35.465	15:45:47.465	43.462229950	1.272889989
35.715	15:45:47.715	43.462229950	1.272889989
35.965	15:45:47.965	43.462229950	1.272889989
36.215	15:45:48.215	43.462229950	1.272889989
36.465	15:45:48.465	43.462229950	1.272889989
36.715	15:45:48.715	43.462229950	1.272889989
36.965	15:45:48.965	43.462229950	1.272889989
37.215	15:45:49.215	43.462229950	1.272889989
37.465	15:45:49.465	43.462229950	1.272889989
37.715	15:45:49.715	43.462229950	1.272889989
37.965	15:45:49.965	43.462229950	1.272889989
38.215	15:45:50.215	43.462229950	1.272889989
38.465	15:45:50.465	43.462229950	1.272889989
38.715	15:45:50.715	43.462229950	1.272889989
38.965	15:45:50.965	43.462229950	1.272889989
39.215	15:45:51.215	43.462229950	1.272889989
39.465	15:45:51.465	43.462229950	1.272889989
39.715	15:45:51.715	43.462229950	1.272889989
39.965	15:45:51.965	43.462229950	1.272889989
40.215	15:45:52.215	43.462229950	1.272889989
40.465	15:45:52.465	43.462229950	1.272889989
40.715	15:45:52.715	43.462229950	1.272889989
40.965	15:45:52.965	43.462229950	1.272889989
41.215	15:45:53.215	43.462229950	1.272889989
41.465	15:45:53.465	43.462229950	1.272889989
41.715	15:45:53.715	43.462229950	1.272889989
41.965	15:45:53.965	43.462229950	1.272889989
42.215	15:45:54.215	43.462229950	1.272889989
42.465	15:45:54.465	43.462229950	1.272889989
42.715	15:45:54.715	43.462229950	1.272889989
42.965	15:45:54.965	43.462229950	1.272889989
43.215	15:45:55.215	43.462229950	1.272889989
43.465	15:45:55.465	43.462229950	1.272889989
43.715	15:45:55.715	43.462229950	1.272889989
43.965	15:45:55.965	43.462229950	1.272889989
44.215	15:45:56.215	43.462229950	1.272889989
44.465	15:45:56.465	43.462229950	1.272889989
44.715	15:45:56.715	43.462229950	1.272889989
44.965	15:45:56.965	43.462229950	1.272889989
45.215	15:45:57.215	43.462229950	1.272889989
45.465	15:45:57.465	43.462229950	1.272889989
45.715	15:45:57.715	43.462229950	1.272889989
45.965	15:45:57.965	43.462229950	1.272889989
46.215	15:45:58.215	43.462229950	1.272889989
46.465	15:45:58.465	43.462229950	1.272889989
46.715	15:45:58.715	43.462229950	1.272889989
46.965	15:45:58.965	43.462229950	1.272889989
47.215	15:45:59.215	43.462229950	1.272889989
47.465	15:45:59.465	43.462229950	1.272889989
47.715	15:45:59.715	43.462229950	1.272889989
47.965	15:45:59.965	43.462229950	1.272889989
48.215	15:46:0.215	43.462229950	1.272889989
48.465	15:46:0.465	43.462229950	1.272889989
48.715	15:46:0.715	43.462229950	1.272889989
48.965	15:46:0.965	43.462229950	1.272889989
49.215	15:46:1.215	43.462229950	1.272889989
49.465	15:46:1.465	43.462229950	1.272889989
49.715	15:46:1.715	43.462229950	1.272889989
49.965	15:46:1.965	43.462229950	1.272889989
50.215	15:46:2.215	43.462229950	1.272889989
50.465	15:46:2.465	43.462229950	1.272889989
50.715	15:46:2.715	43.462229950	1.272889989
50.965	15:46:2.965	43.462229950	1.272889989
51.215	15:46:3.215	43.462229950	1.272889989
51.465	15:46:3.465	43.462229950	1.272889989
51.715	15:46:3.715	43.462229950	1.272889989
51.965	15:46:3.965	43.462229950	1.272889989
52.215	15:46:4.215	43.462229950	1.272889989
52.465	15:46:4.465	43.462229950	1.272889989
52.715	15:46:4.715	43.462229950	1.272889989
52.965	15:46:4.965	43.462229950	1.272889989
53.215	15:46:5.215	43.462229950	1.272889989
53.465	15:46:5.465	43.462229950	1.272889989
53.715	15:46:5.715	43.462229950	1.272889989
53.965	15:46:5.965	43.462229950	1.272889989
54.215	15:46:6.215	43.462229950	1.272889989
54.465	15:46:6.465	43.462229950	1.272889989
54.715	15:46:6.715	43.462229950	1.272889989
54.965	15:46:6.965	43.462229950	1.272889989
55.215	15:46:7.215	43.462229950	1.272889989
55.465	15:46:7.465	43.462229950	1.272889989
55.715	15:46:7.715	43.462229950	1.272889989
55.965	15:46:7.965	43.462229950	1.272889989
56.215	15:46:8.215	43.462229950	1.272889989
56.465	15:46:8.465	43.462229950	1.272889989
56.715	15:46:8.715	43.462229950	1.272889989
56.965	15:46:8.965	43.462229950	1.272889989
57.215	15:46:9.215	43.462229950	1.272889989
57.465	15:46:9.465	43.462229950	1.272889989
57.715	15:46:9.715	43.462229950	1.272889989
57.965	15:46:9.965	43.462229950	1.272889989
58.215	15:46:10.215	43.462229950	1.272889989
58.465	15:46:10.465	43.462229950	1.272889989
58.715	15:46:10.715	43.462229950	1.272889989
58.965	15:46:10.965	43.462229950	1.272889989
59.215	15:46:11.215	43.462229950	1.272889989
59.465	15:46:11.465	43.462229950	1.272889989
59.715	15:46:11.715	43.462229950	1.272889989
59.965	15:46:11.965	43.462229950	1.272889989
60.215	15:46:12.215	43.462229950	1.272889989
60.465	15:46:12.465	43.462229950	1.272889989
60.715	15:46:12.715	43.462229950	1.272889989
60.965	15:46:12.965	43.462229950	1.272889989
61.215	15:46:13.215	43.462229950	1.272889989
61.465	15:46:13.465	43.462229950	1.272889989
61.715	15:46:13.715	43.462229950	1.272889989
61.965	15:46:13.965	43.462229950	1.272889989
62.215	15:46:14.215	43.462229950	1.272889989
62.465	15:46:14.465	43.462229950	1.272889989
62.715	15:46:14.715	43.462229950	1.272889989
62.965	15:46:14.965	43.462229950	1.272889989
63.215	15:46:15.215	43.462229950	1.272889989
63.465	15:46:15.465	43.462229950	1.272889989
63.715	15:46:15.715	43.462229950	1.272889989
63.965	15:46:15.965	43.462229950	1.272889989
64.215	15:46:16.215	43.462229950	1.272889989
64.465	15:46:16.465	43.462229950	1.272889989
64.715	15:46:16.715	43.462229950	1.272889989
64.965	15:46:16.965	43.462229950	1.272889989
65.215	15:46:17.215	43.462229950	1.272889989
65.465	15:46:17.465	43.462229950	1.272889989
65.715	15:46:17.715	43.462229950	1.272889989
65.965	15:46:17.965	43.462229950	1.272889989
66.215	15:46:18.215	43.462229950	1.272889989
66.465	15:46:18.465	43.462229950	1.272889989
66.715	15:46:18.715	43.462229950	1.272889989
66.965	15:46:18.965	43.462229950	1.272889989
67.215	15:46:19.215	43.462229950	1.272889989
67.465	15:46:19.465	43.462229950	1.272889989
67.715	15:46:19.715	43.462229950	1.272889989
67.965	15:46:19.965	43.462229950	1.272889989
68.215	15:46:20.215	43.462229950	1.272889989
68.465	15:46:20.465	43.462229950	1.272889989
68.715	15:46:20.715	43.462229950	1.272889989
68.965	15:46:20.965	43.462229950	1.272889989
69.215	15:46:21.215	43.462229950	1.272889989
69.465	15:46:21.465	43.462229950	1.272889989
69.715	15:46:21.715	43.462229950	1.272889989
69.965	15:46:21.965	43.462229950	1.272889989
70.215	15:46:22.215	43.462229950	1.272889989
70.465	15:46:22.465	43.462229950	1.272889989
70.715	15:46:22.715	43.462229950	1.272889989
70.965	15:46:22.965	43.462229950	1.272889989
71.215	15:46:23.215	43.462229950	1.272889989
71.465	15:46:23.465	43.462229950	1.272889989
71.715	15:46:23.715	43.462229950	1.272889989
71.965	15:46:23.965	43.462229950	1.272889989
72.215	15:46:24.215	43.462229950	1.272889989
72.465	15:46:24.465	43.462229950	1.272889989
72.715	15:46:24.715	43.462229950	1.272889989
72.965	15:46:24.965	43.462229950	1.272889989
73.215	15:46:25.215	43.462229950	1.272889989
73.465	15:46:25.465	43.462229950	1.272889989
73.715	15:46:25.715	43.462229950	1.272889989
73.965	15:46:25.965	43.462229950	1.272889989
74.215	15:46:26.215	43.462229950	1.272889989
74.465	15:46:26.465	43.462229950	1.272889989
74.715	15:46:26.715	43.462229950	1.272889989
74.965	15:46:26.965	43.462229950	1.272889989
75.215	15:46:27.215	43.462229950	1.272889989
75.465	15:46:27.465	43.462229950	1.272889989
75.715	15:46:27.715	43.462229950	1.272889989
75.965	15:46:27.965	43.462229950	1.272889989
76.215	15:46:28.215	43.462229950	1.272889989
76.465	15:46:28.465	43.462229950	1.272889989
76.715	15:46:28.715	43.462229950	1.272889989
76.965	15:46:28.965	43.462229950	1.272889989
77.215	15:46:29.215	43.462229950	1.272889989
77.465	15:46:29.465	43.462229950	1.272889989
77.715	15:46:29.715	43.462229950	1.272889989
77.965	15:46:29.965	43.462229950	1.272889989
78.215	15:46:30.215	43.462229950	1.272889989
78.465	15:46:30.465	43.462229950	1.272889989
78.715	15:46:30.715	43.462229950	1.272889989
78.965	15:46:30.965	43.462229950	1.272889989
79.215	15:46:31.215	43.462229950	1.272889989
79.465	15:46:31.465	43.462229950	1.272889989
79.715	15:46:31.715	43.462229950	1.272889989
79.965	15:46:31.965	43.462229950	1.272889989
80.215	15:46:32.215	43.462229950	1.272889989
80.465	15:46:32.465	43.462229950	1.272889989
80.715	15:46:32.715	43.462229950	1.272889989
80.965	15:46:32.965	43.462229950	1.272889989
81.215	15:46:33.215	43.462229950	1.272889989
81.465	15:46:33.465	43.462229950	1.272889989
81.715	15:46:33.715	43.462229950	1.272889989
81.965	15:46:33.965	43.462229950	1.272889989
82.215	15:46:34.215	43.462229950	1.272889989
82.465	15:46:34.465	43.462229950	1.272889989
82.715	15:46:34.715	43.462229950	1.272889989
82.965	15:46:34.965	43.462229950	1.272889989
83.215	15:46:35.215	43.462229950	1.272889989
83.465	15:46:35.465	43.462229950	1.272889989
83.715	15:46:35.715	43.462229950	1.272889989
83.965	15:46:35.965	43.462229950	1.272889989
84.215	15:46:36.215	43.462229950	1.272889989
84.465	15:46:36.465	43.462229950	1.272889989
84.715	15:46:36.715	43.462229950	1.272889989
84.965	15:46:36.965	43.462229950	1.272889989
85.215	15:46:37.215	43.462229950	1.272889989
85.465	15:46:37.465	43.462229950	1.272889989
85.715	15:46:37.715	43.462229950	1.272889989
85.965	15:46:37.965	43.462229950	1.272889989
86.215	15:46:38.215	43.462229950	1.272889989
86.465	15:46:38.465	43.462229950	1.272889989
86.715	15:46:38.715	43.462229950	1.272889989
86.965	15:46:38.965	43.462229950	1.272889989
87.215	15:46:39.215	43.462229950	1.272889989
87.465	15:46:39.465	43.462229950	1.272889989
87.715	15:46:39.715	43.462229950	1.272889989
87.965	15:46:39.965	43.462229950	1.272889989
88.215	15:46:40.215	43.462229950	1.272889989
88.465	15:46:40.465	43.462229950	1.272889989
88.715	15:46:40.715	43.462229950	1.272889989
88.965	15:46:40.965	43.462229950	1.272889989
89.215	15:46:41.215	43.462229950	1.272889989
89.465	15:46:41.465	43.462229950	1.272889989
89.715	15:46:41.715	43.462229950	1.272889989
89.965	15:46:41.965	43.462229950	1.272889989
90.215	15:46:42.215	43.462229950	1.272889989
90.465	15:46:42.465	43.462229950	1.272889989
90.715	15:46:42.715	43.462229950	1.272889989
90.965	15:46:42.965	43.462229950	1.272889989
91.215	15:46:43.215	43.462229950	1.272889989
91.465	15:46:43.465	43.462229950	1.272889989
91.715	15:46:43.715	43.462229950	1.272889989
91.965	15:46:43.965	43.462229950	1.272889989
92.215	15:46:44.215	43.462229950	1.272889989
92.465	15:46:44.465	43.462229950	1.272889989
92.715	15:46:44.715	43.462229950	1.272889989
92.965	15:46:44.965	43.462229950	1.272889989
93.215	15:46:45.215	43.462229950	1.272889989
93.465	15:46:45.465	43.462229950	1.272889989
93.715	15:46:45.715	43.462229950	1.272889989
93.965	15:46:45.965	43.462229950	1.272889989
94.215	15:46:46.215	43.462229950	1.272889989
94.465	15:46:46.465	43.462229950	1.272889989
94.715	15:46:46.715	43.462229950	1.272889989
94.965	15:46:46.965	43.462229950	1.272889989
95.215	15:46:47.215	43.462229950	1.272889989
95.465	15:46:47.465	43.462229950	1.272889989
95.715	15:46:47.715	43.462229950	1.272889989
95.965	15:46:47.965	43.462229950	1.272889989
96.215	15:46:48.215	43.462229950	1.272889989
96.465	15:46:48.465	43.462229950	1.272889989
96.715	15:46:48.715	43.462229950	1.272889989
96.965	15:46:48.965	43.462229950	1.272889989
97.215	15:46:49.215	43.462229950	1.272889989
97.465	15:46:49.465	43.462229950	1.272889989
97.715	15:46:49.715	43.462229950	1.272889989
97.965	15:46:49.965	43.462229950	1.272889989
98.215	15:46:50.215	43.462229950	1.272889989
98.465	15:46:50.465	43.462229950	1.272889989
98.715	15:46:50.715	43.462229950	1.272889989
98.965	15:46:50.965	43.462229950	1.272889989
99.215	15:46:51.215	43.462229950	1.272889989
99.465	15:46:51.465	43.462229950	1.272889989
99.715	15:46:51.715	43.462229950	1.272889989
99.965	15:46:51.965	43.462229950	1.272889989
100.215	15:46:52.215	43.462229950	1.272889989
100.465	15:46:52.465	43.462229950	1.272889989
100.715	15:46:52.715	43.462229950	1.272889989
100.965	15:46:52.965	43.462229950	1.272889989
101.215	15:46:53.215	43.462229950	1.272889989
101.465	15:46:53.465	43.462229950	1.272889989
101.715	15:46:53.715	43.462229950	1.272889989
101.965	15:46:53.965	43.462229950	1.272889989
102.215	15:46:54.215	43.462229950	1.272889989
102.465	15:46:54.465	43.462229950	1.272889989
102.715	15:46:54.715	43.462229950	1.272889989
102.965	15:46:54.965	43.462229950	1.272889989
103.215	15:46:55.215	43.462229950	1.272889989
103.465	15:46:55.465	43.462229950	1.272889989
103.715	15:46:55.715	43.462229950	1.272889989
103.965	15:46:55.965	43.462229950	1.272889989
104.215	15:46:56.215	43.462229950	1.272889989
104.465	15:46:56.465	43.462229950	1.272889989
104.715	15:46:56.715	43.462229950	1.272889989
104.965	15:46:56.965	43.462229950	1.272889989
105.215	15:46:57.215	43.462229950	1.272889989
105.465	15:46:57.465	43.462229950	1.272889989
105.715	15:46:57.715	43.462229950	1.272889989
105.965	15:46:57.965	43.462229950	1.272889989
106.215	15:46:58.215	43.462229950	1.272889989
106.465	15:46:58.465	43.462229950	1.272889989
106.715	15:46:58.715	43.462229950	1.272889989
106.965	15:46:58.965	43.462229950	1.272889989
107.215	15:46:59.215	43.462229950	1.272889989
107.465	15:46:59.465	43.462229950	1.272889989
107.715	15:46:59.715	43.462229950	1.272889989
107.965	15:46:59.965	43.462229950	1.272889989
108.215	15:47:0.215	43.462229950	1.272889989
108.465	15:47:0.465	43.462229950	1.272889989
108.715	15:47:0.715	43.462229950	1.272889989
108.965	15:47:0.965	43.462229950	1.272889989
109.215	15:47:1.215	43.462229950	1.272889989
109.465	15:47:1.465	43.462229950	1.272889989
109.715	15:47:1.715	43.462229950	1.272889989
109.965	15:47:1.965	43.462229950	1.272889989
110.215	15:47:2.215	43.462229950	1.272889989
110.465	15:47:2.465	43.462229950	1.272889989
110.715	15:47:2.715	43.462229950	1.272889989
110.965	15:47:2.965	43.462229950	1.272889989
111.215	15:47:3.215	43.462229950	1.272889989
111.465	15:47:3.465	43.462229950	1.272889989
111.715	15:47:3.715	43.462229950	1.272889989
111.965	15:47:3.965	43.462229950	1.272889989
112.215	15:47:4.215	43.462229950	1.272889989
112.465	15:47:4.465	43.462229950	1.272889989
112.715	15:47:4.715	43.462229950	1.272889989
112.965	15:47:4.965	43.462229950	1.272889989
113.215	15:47:5.215	43.462229950	1.272889989
113.465	15:47:5.465	43.462229950	1.272889989
113.715	15:47:5.715	43.462229950	1.272889989
113.965	15:47:5.965	43.462229950	1.272889989
114.215	15:47:6.215	43.462229950	1.272889989
114.465	15:47:6.465	43.462229950	1.272889989
114.715	15:47:6.715	43.462229950	1.272889989
114.965	15:47:6.965	43.462229950	1.272889989
115.215	15:47:7.215	43.462229950	1.272889989
115.465	15:47:7.465	43.462229950	1.272889989
115.715	15:47:7.715	43.462229950	1.272889989
115.965	15:47:7.965	43.462229950	1.272889989
116.215	15:47:8.215	43.462229950	1.272889989
116.465	15:47:8.465	43.462229950	1.272889989
116.715	15:47:8.715	43.462229950	1.272889989
116.965	15:47:8.965	43.462229950	1.272889989
117.215	15:47:9.215	43.462229950	1.272889989
117.465	15:47:9.465	43.462229950	1.272889989
117.715	15:47:9.715	43.462229950	1.272889989
117.965	15:47:9.965	43.462229950	1.272889989
118.215	15:47:10.215	43.462229950	1.272889989
118.465	15:47:10.465	43.462229950	1.272889989
118.715	15:47:10.715	43.462229950	1.272889989
118.965	15:47:10.965	43.462229950	1.272889989
119.215	15:47:11.215	43.462229950	1.272889989
119.465	15:47:11.465	43.462229950	1.272889989
119.715	15:47:11.715	43.462229950	1.272889989
119.965	15:47:11.965	43.462229950	1.272889989
120.215	15:47:12.215	43.462229950	1.272889989
120.465	15:47:12.465	43.462229950	1.272889989
120.715	15:47:12.715	43.462229950	1.272889989
120.965	15:47:12.965	43.462229950	1.272889989
121.215	15:47:13.215	43.462229950	1.272889989
121.465	15:47:13.465	43.462229950	1.272889989
121.715	15:47:13.715	43.462229950	1.272889989
121.965	15:47:13.965	43.462229950	1.272889989
122.215	15:47:14.215	43.462229950	1.272889989
122.465	15:47:14.465	43.462229950	1.272889989
122.715	15:47:14.715	43.462229950	1.272889989
122.965	15:47:14.965	43.462229950	1.272889989
123.215	15:47:15.215	43.462229950	1.272889989
123.465	15:47:15.465	43.462229950	1.272889989
123.715	15:47:15.715	43.462229950	1.272889989
123.965	15:47:15.965	43.462229950	1.272889989
124.215	15:47:16.215	43.462229950	1.272889989
124.465	15:47:16.465	43.462229950	1.272889989
124.715	15:47:16.715	43.462229950	1.272889989
124.965	15:47:16.965	43.462229950	1.272889989
125.215	15:47:17.215	43.462229950	1.272889989
125.465	15:47:17.465	43.462229950	1.272889989
125.715	15:47:17.715	43.462229950	1.272889989
125.965	15:47:17.965	43.462229950	1.272889989
126.215	15:47:18.215	43.462229950	1.272889989
126.465	15:47:18.465	43.462229950	1.272889989
126.715	15:47:18.715	43.462229950	1.272889989
126.965	15:47:18.965	43.462229950	1.272889989
127.215	15:47:19.215	43.462229950	1.272889989
127.465	15:47:19.465	43.462229950	1.272889989
127.715	15:47:19.715	43.462229950	1.272889989
127.965	15:47:19.965	43.462229950	1.272889989
128.215	15:47:20.215	43.462229950	1.272889989
128.465	15:47:20.465	43.462229950	1.272889989
128.715	15:47:20.715	43.462229950	1.272889989
128.965	15:47:20.965	43.462229950	1.272889989
129.215	15:47:21.215	43.462229950	1.272889989
129.465	15:47:21.465	43.462229950	1.272889989
129.715	15:47:21.715	43.462229950	1.272889989
129.965	15:47:21.965	43.462229950	1.272889989
130.215	15:47:22.215	43.462229950	1.272889989
130.465	15:47:22.465	43.462229950	1.272889989
130.715	15:47:22.715	43.462229950	1.272889989
130.965	15:47:22.965	43.462229950	1.272889989
131.215	15:47:23.215	43.462229950	1.272889989
131.465	15:47:23.465	43.462229950	1.272889989
131.715	15:47:23.715	43.462229950	1.272889989
131.965	15:47:23.965	43.462229950	1.272889989
132.215	15:47:24.215	43.462229950	1.272889989
132.465	15:47:24.465	43.462229950	1.272889989
132.715	15:47:24.715	43.462229950	1.272889989
132.965	15:47:24.965	43.462229950	1.272889989
133.215	15:47:25.215	43.462229950	1.272889989
133.465	15:47:25.465	43.462229950	1.272889989
133.715	15:47:25.715	43.462229950	1.272889989
133.965	15:47:25.965	43.462229950	1.272889989
134.215	15:47:26.215	43.462229950	1.272889989
134.465	15:47:26.465	43.462229950	1.272889989
134.715	15:47:26.715	43.462229950	1.272889989
134.965	15:47:26.965	43.462229950	1.272889989
135.215	15:47:27.215	43.462229950	1.272889989
135.465	15:47:27.465	43.462229950	1.272889989
135.715	15:47:27.715	43.462229950	1.272889989
135.965	15:47:27.965	43.462229950	1.272889989
136.215	15:47:28.215	43.462229950	1.272889989
136.465	15:47:28.465	43.462229950	1.272889989
136.715	15:47:28.715	43.462229950	1.272889989
136.965	15:47:28.965	43.462229950	1.272889989
137.215	15:47:29.215	43.462229950	1.272889989
137.465	15:47:29.465	43.462229950	1.272889989
137.715	15:47:29.715	43.462229950	1.272889989
137.965	15:47:29.965	43.462229950	1.272889989
138.215	15:47:30.215	43.462229950	1.272889989
138.465	15:47:30.465	43.462229950	1.272889989
138.715	15:47:30.715	43.462229950	1.272889989
138.965	15:47:30.965	43.462229950	1.272889989
139.215	15:47:31.215	43.462229950	1.272889989
139.465	15:47:31.465	43.462229950	1.272889989
139.715	15:47:31.715	43.462229950	1.272889989
139.965	15:47:31.965	43.462229950	1.272889989
140.215	15:47:32.215	43.462229950	1.272889989
140.465	15:47:32.465	43.462229950	1.272889989
140.715	15:47:32.715	43.462229950	1.272889989
140.965	15:47:32.965	43.462229950	1.272889989
141.215	15:47:33.215	43.462229950	1.272889989
141.465	15:47:33.465	43.462229950	1.272889989
141.715	15:47:33.715	43.462229950	1.272889989
141.965	15:47:33.965	43.462229950	1.272889989
142.215	15:47:34.215	43.462229950	1.272889989
142.465	15:47:34.465	43.462229950	1.272889989
142.715	15:47:34.715	43.462229950	1.272889989
142.965	15:47:34.965	43.462229950	1.272889989
143.215	15:47:35.215	43.462229950	1.272889989
143.465	15:47:35.465	43.462229950	1.272889989
143.715	15:47:35.715	43.462229950	1.272889989
143.965	15:47:35.965	43.462229950	1.272889989
144.215	15:47:36.215	43.462229950	1.272889989
144.465	15:47:36.465	43.462229950	1.272889989
144.715	15:47:36.715	43.462229950	1.272889989
144.965	15:47:36.965	43.462229950	1.272889989
145.215	15:47:37.215	43.462229950	1.272889989
145.465	15:47:37.465	43.462229950	1.272889989
145.715	15:47:37.715	43.462229950	1.272889989
145.965	15:47:37.965	43.462229950	1.272889989
146.215	15:47:38.215	43.462229950	1.272889989
146.465	15:47:38.465	43.462229950	1.272889989
146.715	15:47:38.715	43.462229950	1.272889989
146.965	15:47:38.965	43.462229950	1.272889989
147.215	15:47:39.215	43.462229950	1.272889989
147.465	15:47:39.465	43.462229950	1.272889989
147.715	15:47:39.715	43.462229950	1.272889989
147.965	15:47:39.965	43.462229950	1.272889989
148.215	15:47:40.215	43.462229950	1.272889989
148.465	15:47:40.465	43.462229950	1.272889989
148.715	15:47:40.715	43.462229950	1.272889989
148.965	15:47:40.965	43.462229950	1.272889989
149.215	15:47:41.215	43.462229950	1.272889989
149.465	15:47:41.465	43.462229950	1.272889989
149.715	15:47:41.715	43.462229950	1.272889989
149.965	15:47:41.965	43.462229950	1.272889989
150.215	15:47:42.215	43.462229950	1.272889989
150.465	15:47:42.465	43.462229950	1.272889989
150.715	15:47:42.715	43.462229950	1.272889989
150.965	15:47:42.965	43.462229950	1.272889989
151.215	15:47:43.215	43.462229950	1.272889989
151.465	15:47:43.465	43.462229950	1.272889989
151.715	15:47:43.715	43.462229950	1.272889989
151.965	15:47:43.965	43.462229950	1.272889989
152.215	15:47:44.215	43.462229950	1.272889989
152.465	15:47:44.465	43.462229950	1.272889989
152.715	15:47:44.715	43.462229950	1.272889989
152.965	15:47:44.965	43.462229950	1.272889989
153.215	15:47:45.215	43.462229950	1.272889989
153.465	15:47:45.465	43.462229950	1.272889989
153.715	15:47:45.715	43.462229950	1.272889989
153.965	15:47:45.965	43.462229950	1.272889989
154.215	15:47:46.215	43.462229950	1.272889989
154.465	15:47:46.465	43.462229950	1.272889989
154.715	15:47:46.715	43.462229950	1.272889989
154.965	15:47:46.965	43.462229950	1.272889989
155.215	15:47:47.215	43.462229950	1.272889989
155.465	15:47:47.465	43.462229950	1.272889989
155.715	15:47:47.715	43.462229950	1.272889989
155.965	15:47:47.965	43.462229950	1.272889989
156.215	15:47:48.215	43.462229950	1.272889989
156.465	15:47:48.465	43.462229950	1.272889989
156.715	15:47:48.715	43.462229950	1.272889989
156.965	15:47:48.965	43.462229950	1.272889989
157.215	15:47:49.215	43.462229950	1.272889989
157.465	15:47:49.465	43.462229950	1.272889989
157.715	15:47:49.715	43.462229950	1.272889989
157.965	15:47:49.965	43.462229950	1.272889989
158.215	15:47:50.215	43.462229950	1.272889989
158.465	15:47:50.465	43.462229950	1.272889989
158.715	15:47:50.715	43.462229950	1.272889989
158.965	15:47:50.965	43.462229950	1.272889989
159.215	15:47:51.215	43.462229950	1.272889989
159.465	15:47:51.465	43.462229950	1.272889989
159.715	15:47:51.715	43.462229950	1.272889989
159.965	15:47:51.965	43.462229950	1.272889989
